# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
0.669 0.000 0.000 0.683
0.388 0.000 0.000 0.725
0.012 0.007 0.010 0.269
0.605 3.198 9.770 0.203
5.833 0.612 0.235 7.643
11.084 4.006 8.415 14.883
7.636 2.372 6.003 3.079
4.335 5.162 11.908 4.550
0.866 19.321 23.273 2.962
26.346 18.414 14.919 10.026
5.216 2.954 5.130 2.971
15.609 7.734 8.379 9.793
1.780 13.029 17.839 0.889
0.196 1.112 1.270 1.026
0.626 4.149 0.387 2.956
8.368 4.325 0.434 4.502
6.636 17.841 5.491 9.456
10.378 10.092 12.743 4.354
0.575 2.508 9.542 0.856
2.228 3.666 3.982 0.882
4.133 14.731 13.649 10.843
9.797 18.218 24.991 14.313
2.209 14.240 20.937 0.970
0.420 1.825 0.139 0.898
2.124 7.639 1.314 1.069
3.316 3.768 0.298 8.267
2.501 5.187 1.096 3.878
3.954 4.929 17.915 1.058
4.640 18.129 10.229 10.424
4.094 13.579 0.817 5.596
4.644 4.245 0.447 4.340
1.422 0.268 0.401 1.361
0.246 0.048 0.034 0.646
0.366 0.039 0.063 1.299
0.452 0.272 0.040 0.835
3.409 0.318 0.084 2.264
3.939 0.748 0.096 3.463
4.519 7.450 1.167 7.568
3.378 0.075 0.048 11.810
0.349 0.005 0.009 0.600
0.874 2.804 0.458 0.469
6.840 0.447 0.198 7.328
0.430 1.346 1.445 5.476
3.415 1.606 1.047 3.492
2.989 8.720 5.161 16.214
2.103 3.410 1.720 2.317
2.423 4.356 1.257 4.933
1.049 5.882 0.690 9.085
10.216 10.425 1.695 9.853
0.529 3.398 2.236 3.712
4.293 2.866 2.475 2.799
7.011 2.794 0.831 6.854
4.183 2.236 0.343 5.249
5.860 3.187 0.272 8.596
4.826 5.780 5.094 5.617
0.649 2.455 0.601 3.239
1.118 7.951 8.294 3.984
5.998 7.066 4.101 12.034
5.011 2.963 1.574 3.157
4.355 3.139 1.709 12.807
7.148 0.984 0.483 10.912
6.597 0.362 0.139 2.815
10.281 0.628 0.428 4.471
2.367 0.150 0.054 1.248
0.819 0.122 0.172 1.181
1.057 0.421 0.226 0.205
0.797 0.884 0.316 0.229
2.589 0.014 0.025 0.154
1.413 0.154 0.095 0.354
0.358 0.003 0.000 0.429
3.304 0.389 1.098 3.632
4.629 4.165 0.115 14.383
8.364 1.321 3.646 6.595
5.630 2.221 0.098 13.166
3.454 0.029 0.019 0.255
1.006 0.042 0.065 0.576
5.127 0.583 0.109 1.364
7.644 5.849 1.199 1.296
2.985 3.465 0.227 2.582
0.926 0.050 0.160 0.672
