# Cairo	Aswand	Merowe	Karthoum	Singa	Kashm	Tsengh	Ozentari	Tana	Roseires	GERD	SouthWest	Victoria
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1450.96517	0.00000	0.00000	2085.20639	0.00000	10240.82494
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1414.10034	0.00000	0.00000	1746.25381	0.00000	9794.30048
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1412.25227	0.00000	0.00000	1752.31207	0.00000	9360.21692
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1377.60938	0.00000	0.00000	1675.19401	0.00000	8727.92897
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1313.91990	0.00000	0.00000	1404.33346	0.00000	8576.42137
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1320.03300	0.00000	0.00000	1383.33784	0.00000	8039.93960
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1265.91630	0.00000	0.00000	1746.32358	1324.62849	7362.53179
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1658.28193	109.93951	0.00000	2599.99004	3002.81018	7234.61885
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1856.47156	174.56792	0.00000	3122.74508	2284.60620	7336.37115
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1860.76611	159.49242	0.00000	2993.67772	1734.61877	7068.53083
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1838.51968	133.70120	0.00000	2747.53088	4949.38134	7842.53481
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1907.36889	144.55825	0.00000	2658.58883	4868.11154	7484.24869
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2180.09112	114.09534	0.00000	2851.06905	7859.38378	8035.21692
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2070.17108	85.51239	0.00000	2570.76160	6730.08246	8544.26751
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3637.49405	56.44474	0.00000	3595.02001	5171.56258	8454.06674
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2128.89707	26.69820	0.00000	3526.63027	3006.24270	7845.17190
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2036.41670	3.48798	0.00000	3205.50966	1604.66905	7456.63569
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1902.21370	0.00000	0.00000	2799.73944	0.00000	7154.28470
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1774.04744	0.00000	0.00000	2400.22143	271.48328	8017.32722
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1650.31197	0.00000	0.00000	2028.37966	113.73422	8543.39126
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1534.70532	0.00000	0.00000	1664.33485	0.00000	8155.31334
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1454.13038	0.00000	0.00000	1336.75870	0.00000	8309.35762
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1345.17545	0.00000	0.00000	1106.18086	0.00000	7641.23323
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1244.11576	0.00000	18.00241	949.78098	0.00000	7209.16263
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1145.98104	0.00000	8.88205	744.83450	1535.82655	6538.42250
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1051.93430	0.00000	11.31673	538.54110	0.00000	5891.42571
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	4.21714	966.33401	12.54299	0.00000	562.51620	2324.36650	5378.26779
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	894.37930	70.36980	0.00000	780.96516	4487.68081	4970.49934
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	884.37797	115.02054	0.00000	800.45854	3849.90590	4567.91717
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	991.74876	107.93537	0.00000	675.72753	2166.17536	4041.26462
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	967.57429	90.22904	0.00000	656.32860	2329.68592	3568.40435
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	910.39461	59.34023	0.00000	388.81575	2763.86526	3229.13465
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	830.31881	30.17799	0.00000	153.87873	6395.08526	3064.97844
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	765.09607	11.30651	75.32521	42.57552	8044.43966	3017.67408
0.00000	0.00000	0.00000	0.00000	4.00651	0.00000	73.07624	703.61800	14.11758	59.85302	232.23320	8297.63852	2709.42802
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	126.46222	658.47932	66.72169	55.43390	304.13143	8094.30155	2243.43616
0.00000	0.00000	0.00000	173.90779	242.69645	0.00000	37.29431	848.72990	115.98480	157.39511	938.31343	10304.51747	1790.98753
0.00000	0.00000	0.00000	58.43411	246.77917	0.00000	135.75641	928.59762	229.62648	140.27510	1065.36502	11755.20501	1395.91455
0.00000	0.00000	0.00000	0.00000	44.32149	0.00000	16.84609	855.23705	198.36817	111.90576	940.75153	12713.04967	1389.03900
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	780.25382	170.04515	129.69993	812.85403	15870.38792	1164.69108
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	708.51450	179.46400	96.74511	630.69865	14830.04750	878.09048
0.00000	0.00000	0.00000	62.47270	0.00000	0.00000	0.00000	655.15583	147.15174	135.03648	471.13929	15071.70010	564.51727
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	585.21617	114.47212	102.19020	241.49387	14692.16412	202.30800
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	519.79600	88.02242	87.72778	120.72376	14091.81670	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	457.87727	112.28038	68.35218	262.09988	14261.25409	65.09208
0.00000	0.00000	0.00000	0.00000	19.50947	0.00000	182.90666	435.60970	144.28711	44.38225	288.64490	14431.63311	9.54736
