date,water_m3_day
1988-05-03,295423619.558400
1988-05-04,294813221.097600
1988-05-05,294200985.772800
1988-05-06,293590609.084800
1988-05-07,292985819.971200
1988-05-08,292390379.251200
1988-05-09,291808077.552000
1988-05-10,291242734.012800
1988-05-11,290698191.878400
1988-05-12,290178318.585600
1988-05-13,289687000.924800
1988-05-14,289228144.262400
1988-05-15,288989185.190400
1988-05-16,289129954.118400
1988-05-17,289615296.355200
1988-05-18,290417302.281600
1988-05-19,291508274.736000
1988-05-20,292860781.200000
1988-05-21,294447705.292800
1988-05-22,296242289.712000
1988-05-23,298218181.075200
1988-05-24,300349466.899200
1988-05-25,302610709.987200
1988-05-26,304976981.174400
1988-05-27,307423885.161600
1988-05-28,309927585.571200
1988-05-29,312464823.609600
1988-05-30,315012935.606400
1988-05-31,317549865.801600
1988-06-01,320054174.985600
1988-06-02,322505045.942400
1988-06-03,324882285.523200
1988-06-04,327166322.832000
1988-06-05,329338202.918400
1988-06-06,331379578.656000
1988-06-07,333272696.745600
1988-06-08,335000382.076800
1988-06-09,336546016.992000
1988-06-10,337893517.440000
1988-06-11,339027305.500800
1988-06-12,339932277.936000
1988-06-13,340593771.888000
1988-06-14,340997525.222400
1988-06-15,341271142.704000
1988-06-16,341475837.004800
1988-06-17,341538796.166400
1988-06-18,341462861.712000
1988-06-19,341251078.809600
1988-06-20,340906721.587200
1988-06-21,340433312.313600
1988-06-22,339834639.196800
1988-06-23,339114772.022400
1988-06-24,338278073.040000
1988-06-25,337329208.454400
1988-06-26,336273153.609600
1988-06-27,335115199.209600
1988-06-28,333860951.145600
1988-06-29,332516330.928000
1988-06-30,331087570.848000
1988-07-01,329581208.620800
1988-07-02,328004077.536000
1988-07-03,326363295.657600
1988-07-04,324666250.444800
1988-07-05,322920582.595200
1988-07-06,321134166.259200
1988-07-07,319315085.884800
1988-07-08,317471612.284800
1988-07-09,315612174.211200
1988-07-10,313745328.115200
1988-07-11,311879725.401600
1988-07-12,310024076.400000
1988-07-13,308187112.694400
1988-07-14,306377544.787200
1988-07-15,304651153.987200
1988-07-16,302960347.286400
1988-07-17,301208850.633600
1988-07-18,299403694.742400
1988-07-19,297551973.657600
1988-07-20,295660841.817600
1988-07-21,293737515.004800
1988-07-22,291789265.852800
1988-07-23,289823423.587200
1988-07-24,287847371.174400
1988-07-25,285868541.779200
1988-07-26,283894416.691200
1988-07-27,281932521.696000
1988-07-28,279990423.619200
1988-07-29,278075725.142400
1988-07-30,276196062.297600
1988-07-31,274359098.937600
1988-08-01,272572522.156800
1988-08-02,270844036.675200
1988-08-03,269181359.827200
1988-08-04,267592216.204800
1988-08-05,266084330.486400
1988-08-06,264665421.302400
1988-08-07,263343195.619200
1988-08-08,262125340.876800
1988-08-09,261019517.558400
